source_phenotype,target_phenotype,statistic,observed_value,permuted_average,p_value,effect
Helper T,T,median,72.71547290639116,102.48807843524469,0.036,attraction
Helper T,T,p10,23.994657104968926,38.326969093416025,0.104,attraction
Helper T,T,p90,322.89351310202056,340.7919622989435,0.925,attraction
Helper T,Helper T,mean,279.6038248992888,162.35469705067385,0.188,avoidance
Helper T,Helper T,median,92.2834763107678,107.76772128307785,0.304,attraction
Helper T,Helper T,p10,29.86167552850631,44.10944584500907,0.274,attraction
Helper T,Helper T,p90,153.7002927778602,221.1204154365035,0.088,attraction
Helper T,Cytotoxic T,mean,88.45324421041583,143.89384284943773,0.101,attraction
Helper T,Cytotoxic T,median,54.93314118089421,103.29256489900538,0.025,attraction
Helper T,Cytotoxic T,p10,29.07284209388164,43.91490685805703,0.217,attraction
Helper T,Cytotoxic T,p90,192.29599126759152,291.95606027148244,0.48,attraction
Cytotoxic T,TAM,mean,119.81711355100548,157.7886003767591,0.478,attraction
Cytotoxic T,TAM,median,107.86653467215895,108.28360404042886,0.547,attraction
Cytotoxic T,TAM,p10,48.51569003700224,36.50917784262728,0.019,avoidance
Cytotoxic T,TAM,p90,214.03866224196025,393.2053130910738,0.375,attraction
Cytotoxic T,Endothelial cells,mean,108.87904157648572,157.12735283982343,0.14,attraction
Cytotoxic T,Endothelial cells,median,98.80005615814979,108.31379747967219,0.237,attraction
Cytotoxic T,Endothelial cells,p10,39.44262666150657,36.53963583820821,0.282,avoidance
Cytotoxic T,Endothelial cells,p90,189.66502345977895,393.53007999123497,0.108,attraction
Cytotoxic T,Ki67 proliferating cells,mean,103.18286127327023,158.56954366666375,0.127,attraction
Cytotoxic T,Ki67 proliferating cells,median,77.42583548144646,108.9622354947436,0.036,attraction
Cytotoxic T,Ki67 proliferating cells,p10,37.33357597433317,39.166074432482944,0.458,attraction
Cytotoxic T,Ki67 proliferating cells,p90,205.20283550860037,379.4052135021577,0.363,attraction
Cytotoxic T,T,mean,81.2925727112121,155.89029341311334,0.002,attraction
Cytotoxic T,T,median,69.2318568290635,109.47544467879648,0.012,attraction
Cytotoxic T,T,p10,11.196043748804483,40.038414105742426,0.001,attraction
Cytotoxic T,T,p90,179.14009384054802,357.02901744893893,0.159,attraction
Cytotoxic T,Helper T,mean,84.69574076198701,154.50871021157928,0.04,attraction
Cytotoxic T,Helper T,median,59.66524031920732,111.30149979568745,0.017,attraction
Cytotoxic T,Helper T,p10,31.114340405367102,44.87936320441085,0.239,attraction
Cytotoxic T,Helper T,p90,165.9706618356585,325.5587228344474,0.174,attraction
Cytotoxic T,Cytotoxic T,mean,117.98431543540718,175.72984960839986,0.278,attraction
Cytotoxic T,Cytotoxic T,median,124.1232049215615,111.50893875134449,0.343,avoidance
Cytotoxic T,Cytotoxic T,p10,41.08975247575415,44.610848859094304,0.505,attraction
Cytotoxic T,Cytotoxic T,p90,183.10104668151823,230.39401517320366,0.227,attraction
